LEGO element ID,Amount,Name,Color,Alt. ID
4211099,54,Brick 1X8 ,Dk. St. Grey ,
4211100,78,Brick 1X6 ,Dk. St. Grey ,
4211103,4,Brick 1X4 ,Dk. St. Grey ,
4211104,24,Brick 1X3 ,Dk. St. Grey ,
4211106,16,Roof Tile 2X3/25° ,Dk. St. Grey ,
4211107,12,Brick 1X10 ,Dk. St. Grey ,
4211150,7,Plate 1X2 ,Red. Brown ,
4211151,3,Flat Tile 1X2 ,Red. Brown ,
4211152,12,Plate 1X3 ,Red. Brown ,
4211165,2,Wig Ponytail ,Red. Brown ,
4211186,16,Plate 2X4 ,Red. Brown ,
4211189,4,Plate 2X3 ,Red. Brown ,
4211190,19,Plate 1X4 ,Red. Brown ,
4211194,7,Flat Tile 1X4 ,Red. Brown ,
4211225,4,Brick 1X4 ,Red. Brown ,
4211242,2,Brick 1X1 ,Red. Brown ,
4211247,4,Plate 2X6 ,Red. Brown ,
4211385,6,Brick 2X4 ,Med. St-Grey ,
4211386,22,Brick 2X3 ,Med. St-Grey ,
4211387,24,Brick 2X2 ,Med. St-Grey ,
4211397,6,Plate 2X2 ,Med. St-Grey ,
4211401,2,Plate 4X12 ,Med. St-Grey ,
4211402,8,Plate 4X10 ,Med. St-Grey ,
4211405,6,Plate 6X10 ,Med. St-Grey ,
4211407,12,Plate 4X8 ,Med. St-Grey ,
4211436,9,Roof Tile 2X2/45 Inv. ,Med. St-Grey ,
4211440,60,Technic Brick 1X2 Ø4.9 ,Med. St-Grey ,
4211452,4,Plate 2X6 ,Med. St-Grey ,
4211526,35,Brick Ø16 W. Cross ,Med. St-Grey ,
4211573,8,1/2 Bush ,Med. St-Grey ,
4211622,532,Bush For Cross Axle ,Med. St-Grey ,
4211795,12,Brick 2X6 ,Med. St-Grey ,
4211807,4,Connector Peg ,Med. St-Grey ,
4211815,46,Cross Axle 3M ,Med. St-Grey ,
4214921,5,Mini Lower Part Koks/Orange ,Br.Orange ,
4216668,2,Brick 2X3 ,Red. Brown ,
4221590,17,Plate 1X6 ,Red. Brown ,
4221744,4,Plate 1X1 ,Red. Brown ,
4233493,774,Brick 1X2 With Cross Hole ,Med. St-Grey ,
4243815,8,Plate 4X4 ,Br.Blue ,
4249019,4,Plate 2X10 ,Brick-Yel ,
4256095,80,Right Plate 3X8 W/Angle ,White ,
4256097,80,Left Plate 3X8 W/Angle ,White ,
4261301,3,Mini Head No. 386 ,Br.Yel ,
4263776,2,Brick 1X8 ,Red. Brown ,
4271949,6,Flat Tile 2X2 ,Red. Brown ,
4275673,16,Lattice 1X4X6 W. Snap ,Med. St-Grey ,
6031982,5,"Mini Upper Part ""No. 1182"" ",Br.Orange ,4275843
4509886,32,Angle Element 90 Degrees [6] ,Med. St-Grey ,
4512363,288,Cross Axle Extension 2M ,Black ,
4515347,4,Plate 4X4 Round W. Snap ,White ,
4515351,224,Plate 4X4 Round W. Snap ,Med. St-Grey ,
4528341,120,Plate 6X10 ,White ,
4556158,16,Plate 1X2 W/Holder Vertical ,Black ,
4558959,536,Brick 4X4 Round W. Ø4.9 W. Kl. ,Dk. St. Grey ,
4567449,96,Brick 2X2W.Inside And Outs.Bow ,White ,
4617860,30,Brick 2X10 ,Black ,
4651443,2,Mini Head No. 893 ,Br.Yel ,
4666579,8,Connector Peg/Cross Axle ,Brick-Yel ,
6030711,4,Plate 1X1 W. Up Right Holder ,Med. St-Grey,
